Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
26qTfV9DiLTT5fBXgvXfFx,"6chWbUfdu6ibyaCXM1w8kQ,7J4Pg0NGyrWoMrROYhnlP6","Your Soul","Warm","Forrest.,Biskwiq",2018-07-01,178285,46,spotify:user:flaredfive830,2020-02-25T17:27:26Z,"lo-fi rap",0.846,0.851,9,-3.821,1,0.372,0.0244,0,0.153,0.822,139.966,4
0yTJtxZJ5VLfBEHhiNUNeY,"4j56EQDQu5XnL7R3E9iFJT","Silvertongue","Home of the Strange","Young the Giant",2016-08-12,197426,50,spotify:user:flaredfive830,2020-02-25T17:30:34Z,"indietronica,modern alternative rock,modern rock,pov: indie,stomp and holler",0.673,0.789,0,-4.288,1,0.0408,0.00975,0,0.752,0.841,100.043,4
3Plhh6DXBtxPF59hxZVwBO,"6chWbUfdu6ibyaCXM1w8kQ,7J4Pg0NGyrWoMrROYhnlP6","Sunday","Warm","Forrest.,Biskwiq",2018-07-01,154681,35,spotify:user:flaredfive830,2020-02-25T17:34:53Z,"lo-fi rap",0.838,0.7,2,-5.235,1,0.382,0.149,0.00000186,0.239,0.798,84.018,4
47Bg6IrMed1GPbxRgwH2aC,"7pbDxGE6nQSZVfiFdq9lOL","Best Friend","Best Friend","Rex Orange County",2017-01-25,262231,1,spotify:user:flaredfive830,2020-02-25T17:37:57Z,"bedroom pop",0.575,0.714,6,-5.247,1,0.0596,0.395,0,0.115,0.32,144.982,4
2BvR9hPsT7QoyiQBNuZYyW,"0d9jID12w4gsq8YKFiLd9B","Applesauce","Applesauce","sam.sts",2019-10-18,201610,0,spotify:user:flaredfive830,2020-02-25T17:40:47Z,"bedroom pop",0.681,0.552,0,-8.913,1,0.156,0.41,0,0.207,0.876,124.686,4
4vHNeBWDQpVCmGbaccrRzi,"4iMO20EPodreIaEl8qW66y","Goodie Bag","Goodie Bag","Still Woozy",2017-11-05,146390,70,spotify:user:flaredfive830,2020-02-25T17:41:18Z,"bedroom pop,oakland indie,pov: indie",0.739,0.522,7,-12.304,0,0.151,0.821,0.00124,0.233,0.619,138.263,4
5EYi2rH4LYs6M21ZLOyQTx,"7pbDxGE6nQSZVfiFdq9lOL,4gHcu2JoaXJ0mV4aNPCd7N","Loving Is Easy (feat. Benny Sings)","Loving Is Easy (feat. Benny Sings)","Rex Orange County,Benny Sings",2017-10-11,155720,1,spotify:user:flaredfive830,2020-02-25T17:41:44Z,"bedroom pop,dutch pop,indie soul",0.756,0.609,3,-7.927,1,0.0544,0.217,0.00482,0.0959,0.537,117.024,4
5SlHTXLWa0nvh8VtGgKlJB,"6c4sUNBgdonFJz8Kx2VsGz","Beggin'","Conquest","Madcon",2009-01-01,216520,0,spotify:user:flaredfive830,2020-03-05T03:07:58Z,"norwegian hip hop",0.731,0.718,4,-7.51,0,0.0672,0.0226,0,0.0518,0.428,129.053,4
0AphwbfFSlGgGDlXGeiEpu,"1iJdyDcY98X3GMnUesl7tf","Bands","Bawskee","Comethazine",2018-08-24,98734,11,spotify:user:flaredfive830,2020-03-05T03:08:05Z,"trap,underground hip hop",0.834,0.457,10,-10.775,1,0.572,0.21,0,0.0641,0.533,158.008,4
22LAwLoDA5b4AaGSkg6bKW,"5zctI4wO9XSKS8XwcnqEHk","Blueberry Faygo","Certified Hitmaker","Lil Mosey",2020-02-06,162546,67,spotify:user:flaredfive830,2020-03-05T03:08:08Z,"melodic rap,rap conscient",0.774,0.554,0,-7.909,1,0.0383,0.207,0,0.132,0.349,99.034,4
1ToprX3cpBiXoAe5eNSk74,"6LuN9FCkKOj5PcnpouEgny","Eleven","Eleven","Khalid",2020-01-09,206360,50,spotify:user:flaredfive830,2020-03-05T03:08:11Z,"pop,pop r&b",0.701,0.396,4,-10.182,0,0.119,0.112,0.0209,0.223,0.115,129.004,4
5awvelCGpDQHwgZem0ira9,"6chWbUfdu6ibyaCXM1w8kQ,7J4Pg0NGyrWoMrROYhnlP6,0gKR8NI5vgeG9kCyt8q06v","Lately","Lately","Forrest.,Biskwiq,Ryce",2018-11-01,207000,42,spotify:user:flaredfive830,2020-03-06T14:54:11Z,"lo-fi rap",0.718,0.632,0,-4.011,1,0.145,0.213,0.0000128,0.283,0.859,160.039,4
7yHqOZfsXYlicyoMt62yC6,"4ETSs924pXMzjIeD6E9b4u","Heaven Falls / Fall on Me","Heaven Falls / Fall on Me","Surfaces",2018-08-24,240597,53,spotify:user:flaredfive830,2020-03-06T14:54:26Z,"bedroom soul",0.563,0.366,11,-6.896,0,0.121,0.36,0.00243,0.0955,0.768,85.352,4
